character_label,lomez,sacamano,devola,steinbrenner,newman,pitt,peterman,kruger,exclam_cnt,question_cnt,quote_len,num_words,avg_len_word,text_proc
jerry,0,0,0,0,0,0,0,0,2,8,974,189,4.158730158730159,one singl enjoy experi life peopl ever hear peopl talk theyr talk whole thing one home one person home peopl tryin find dont imaginari phone ring cant find didnt tell go must gone wan get readi pick cloth take shower get readi get cash get friend car spot reserv your stand around whatta got get back your wan get back wan sleep wan get wan tomorrow ever life feel youv got
jerry,0,0,0,0,0,0,0,0,1,0,225,41,4.512195121951219,point georg shirt see button worst possibl spot second button liter make break shirt look high nomansland look live mother
jerry,0,0,0,0,0,0,0,0,0,1,38,9,3.333333333333333,cours tri buy
george,0,0,0,0,0,0,0,0,0,0,79,14,4.714285714285714,ye purpl like dont actual recal consid button
george,0,0,0,0,0,0,0,0,0,0,54,10,4.5,imaginari microphon time
jerry,0,0,0,0,0,0,0,0,0,0,72,15,3.8666666666666663,well senat knew knew
george,0,0,0,0,0,0,0,0,0,2,61,11,4.636363636363637,sure decaf where orang indic
jerry,0,0,0,0,0,0,0,0,0,0,70,13,4.461538461538462,relax cup coffe clair profession waitress
george,0,0,0,0,0,0,0,0,0,1,49,9,4.5555555555555545,come your doin second show tomorrow
jerry,0,0,0,0,0,0,0,0,0,0,46,9,4.222222222222221,well there woman might comin
george,0,0,0,0,0,0,0,0,0,1,70,14,4.071428571428571,wait second wait second come woman come
jerry,0,0,0,0,0,0,0,0,0,1,51,11,3.727272727272727,told laura girl met michigan
jerry,0,0,0,0,0,0,0,0,0,1,115,23,4.043478260869565,thought told ye teach polit scienc met night show lans
jerry,0,0,0,0,0,0,0,0,0,0,54,10,4.5,look creamer there milk
george,0,0,0,0,0,0,0,0,0,1,105,22,3.8181818181818175,wait wait wait take milk jerri put tabl
jerry,0,0,0,0,0,0,0,0,0,0,243,44,4.545454545454546,she realli great mean she got real warmth she realli bright realli pretti convers though mean talk talk obvious much better
george,0,0,0,0,0,0,0,0,0,1,44,7,5.428571428571429,smile happen
jerry,0,0,0,0,0,0,0,0,0,0,49,9,4.5555555555555545,noth happen great
george,0,0,0,0,0,0,0,0,0,0,35,6,5.0,noth happen
george,0,0,0,0,0,0,0,0,2,1,99,20,4.0,call say want tomorrow night god bless devil
jerry,0,0,0,0,0,0,0,0,0,0,148,28,4.321428571428571,well exactli mean said call morn said come seminar mayb well get togeth
george,0,0,0,0,0,0,0,0,0,2,59,11,4.454545454545454,whistl disapprovingli come
george,0,0,0,0,0,0,0,0,0,2,61,13,3.7692307692307687,come mayb well get togeth mayb
george,0,0,0,0,0,0,0,0,0,0,70,13,4.461538461538462,hate tell your gon see woman
jerry,0,0,0,0,0,0,0,0,0,1,46,8,4.875,seriou call
george,0,0,0,0,0,0,0,0,0,0,62,13,3.8461538461538463,mayb mayb want polit
jerry,0,0,0,0,0,0,0,0,1,1,29,6,4.0,polit insan
george,0,0,0,0,0,0,0,0,0,1,87,18,3.888888888888889,didnt want tell wan call
george,0,0,0,0,0,0,0,0,1,0,78,12,5.583333333333332,your backup your secondlin justincas bplan conting
jerry,0,0,0,0,0,0,0,0,0,0,39,9,3.4444444444444446,get button
george,0,0,0,0,0,0,0,0,0,1,37,6,5.333333333333333,clair clair your woman
george,0,0,0,0,0,0,0,0,0,0,111,20,4.6,uhm ask ask analyz hypothet phone call femal point view
george,0,0,0,0,0,0,0,0,0,1,45,9,4.111111111111111,clair woman call
george,0,0,0,0,0,0,0,0,0,0,51,11,3.727272727272727,say come new york busi
george,0,0,0,0,0,0,0,0,0,1,97,19,4.157894736842104,mayb shell see get woman intend spend time
george,0,0,0,0,0,0,0,0,0,0,29,7,3.2857142857142856,polit rest case
jerry,0,0,0,0,0,0,0,0,0,1,156,32,3.90625,good fun idea your talk come come stand got get stuff dryer anyway
george,0,0,0,0,0,0,0,0,0,0,34,7,4.0,gon watch laundri
jerry,0,0,0,0,0,0,0,0,0,0,32,7,3.7142857142857135,come comewith guy
george,0,0,0,0,0,0,0,0,1,0,43,7,5.285714285714286,panick knew felt someth
george,0,0,0,0,0,0,0,0,0,1,85,15,4.733333333333333,jerri tell someth dullest moment ive ever experienc
jerry,0,0,0,0,0,0,0,0,0,0,124,21,4.904761904761905,well look guy look he got everyth he got deterg spray fabric soften first load
george,0,0,0,0,0,0,0,0,0,0,82,18,3.611111111111111,need break jerri got get citi feel cramp
jerry,0,0,0,0,0,0,0,0,0,0,40,8,4.125,didnt even hear sound
george,0,0,0,0,0,0,0,0,1,0,63,11,4.818181818181818,cant believ fall knee alreadi discuss
jerry,0,0,0,0,0,0,0,0,0,1,35,8,3.5,could sure
george,0,0,0,0,0,0,0,0,1,1,157,28,4.642857142857143,caus signal jerri signal snap finger dont even ask doin tomorrow night busi
george,0,0,0,0,0,0,0,0,1,2,94,18,4.277777777777779,call today doesnt make plan tomorrow saturday night
george,0,0,0,0,0,0,0,0,3,1,162,29,4.620689655172415,ridicul dont even hotel she stay cant call that signal jerri that signal snap finger signal
george,0,0,0,0,0,0,0,0,0,1,35,7,4.142857142857143,mayb cours
