character_label,lomez,sacamano,devola,steinbrenner,newman,pitt,peterman,kruger,exclam_cnt,question_cnt,quote_len,num_words,avg_len_word,text_proc
jerry,0,0,0,0,0,0,0,0,2,8,974,189,4.158730158730159,you know what thi all about you know whi were here out thi out and out one the singl most enjoy experi life peopl did you ever hear peopl talk about should out thi what theyr talk about thi whole thing were all out now one home not one person here home were all out there are peopl tryin find they dont know where are imaginari phone did you ring cant find him where did didnt tell where wa go must have gone out you wan out you get readi you pick out the cloth right you take the shower you get all readi get the cash get your friend the car the spot the reserv then your stand around whatta you you got get back onc your out you wan get back you wan sleep you wan get you wan out again tomorrow right where ever you are life it feel youv got
jerry,0,0,0,0,0,0,0,0,1,0,225,41,4.512195121951219,point georg shirt see that button the worst possibl spot the second button liter make break the shirt look it too high it nomansland you look like you live with your mother
jerry,0,0,0,0,0,0,0,0,0,1,38,9,3.333333333333333,you cours tri when you buy
george,0,0,0,0,0,0,0,0,0,0,79,14,4.714285714285714,ye wa purpl like dont actual recal consid the button
george,0,0,0,0,0,0,0,0,0,0,54,10,4.5,imaginari microphon not thi time
jerry,0,0,0,0,0,0,0,0,0,0,72,15,3.8666666666666663,well senat just like know what you knew and when you knew
george,0,0,0,0,0,0,0,0,0,2,61,11,4.636363636363637,are are you sure thi decaf where the orang indic
jerry,0,0,0,0,0,0,0,0,0,0,70,13,4.461538461538462,can you relax it cup coffe clair profession waitress
george,0,0,0,0,0,0,0,0,0,1,49,9,4.5555555555555545,how come your not doin the second show tomorrow
jerry,0,0,0,0,0,0,0,0,0,0,46,9,4.222222222222221,well there thi woman might comin
george,0,0,0,0,0,0,0,0,0,1,70,14,4.071428571428571,wait second wait second what come what woman come
jerry,0,0,0,0,0,0,0,0,0,1,51,11,3.727272727272727,told you about laura the girl met michigan
jerry,0,0,0,0,0,0,0,0,0,1,115,23,4.043478260869565,thought told you about ye she teach polit scienc met her the night did the show lans
jerry,0,0,0,0,0,0,0,0,0,0,54,10,4.5,look the creamer there milk here what
george,0,0,0,0,0,0,0,0,0,1,105,22,3.8181818181818175,wait wait wait what she take the milk can from jerri and put the tabl what she like
jerry,0,0,0,0,0,0,0,0,0,0,243,44,4.545454545454546,she realli great mean she got like real warmth about her and she realli bright and realli pretti and the convers though mean wa talk with her like talk with you but you know obvious much better
george,0,0,0,0,0,0,0,0,0,1,44,7,5.428571428571429,smile you know what what happen
jerry,0,0,0,0,0,0,0,0,0,0,49,9,4.5555555555555545,noth happen you know but wa great
george,0,0,0,0,0,0,0,0,0,0,35,6,5.0,noth happen but wa
george,0,0,0,0,0,0,0,0,2,1,99,20,4.0,you know she call and say she want out with you tomorrow night god bless devil you
jerry,0,0,0,0,0,0,0,0,0,0,148,28,4.321428571428571,yeah well not exactli mean she said you know she call thi morn and said she had come for seminar and mayb well get togeth
george,0,0,0,0,0,0,0,0,0,2,59,11,4.454545454545454,whistl disapprovingli had had come
george,0,0,0,0,0,0,0,0,0,2,61,13,3.7692307692307687,had come and mayb well get togeth had and mayb
george,0,0,0,0,0,0,0,0,0,0,70,13,4.461538461538462,hate tell you thi your not gon see thi woman
jerry,0,0,0,0,0,0,0,0,0,1,46,8,4.875,what are you seriou whi whi did she call
george,0,0,0,0,0,0,0,0,0,0,62,13,3.8461538461538463,how know mayb you know mayb she want polit
jerry,0,0,0,0,0,0,0,0,1,1,29,6,4.0,polit you are insan
george,0,0,0,0,0,0,0,0,0,1,87,18,3.888888888888889,all right all right didnt want tell you thi you wan know whi she call you
george,0,0,0,0,0,0,0,0,1,0,78,12,5.583333333333332,your backup your secondlin justincas bplan conting
jerry,0,0,0,0,0,0,0,0,0,0,39,9,3.4444444444444446,get thi about the button
george,0,0,0,0,0,0,0,0,0,1,37,6,5.333333333333333,clair clair your woman right
george,0,0,0,0,0,0,0,0,0,0,111,20,4.6,uhm like ask you ask you analyz hypothet phone call you know from femal point view
george,0,0,0,0,0,0,0,0,0,1,45,9,4.111111111111111,clair now woman call all right
george,0,0,0,0,0,0,0,0,0,0,51,11,3.727272727272727,she say she ha come new york busi
george,0,0,0,0,0,0,0,0,0,1,97,19,4.157894736842104,and and mayb shell see when she get there doe thi woman intend spend time with
george,0,0,0,0,0,0,0,0,0,0,29,7,3.2857142857142856,polit rest case
jerry,0,0,0,0,0,0,0,0,0,1,156,32,3.90625,good did you have fun you have idea what your talk about now come come with stand got get stuff out the dryer anyway
george,0,0,0,0,0,0,0,0,0,0,34,7,4.0,not gon watch you laundri
jerry,0,0,0,0,0,0,0,0,0,0,32,7,3.7142857142857135,come comewith guy
george,0,0,0,0,0,0,0,0,1,0,43,7,5.285714285714286,panick right knew felt someth
george,0,0,0,0,0,0,0,0,0,1,85,15,4.733333333333333,jerri have tell you someth thi the dullest moment ive ever experienc
jerry,0,0,0,0,0,0,0,0,0,0,124,21,4.904761904761905,well look thi guy look he got everyth he got deterg spray fabric soften thi not hi first load
george,0,0,0,0,0,0,0,0,0,0,82,18,3.611111111111111,need break jerri you know got get out the citi feel cramp
jerry,0,0,0,0,0,0,0,0,0,0,40,8,4.125,and you didnt even hear how she sound
george,0,0,0,0,0,0,0,0,1,0,63,11,4.818181818181818,cant believ fall hi knee alreadi discuss thi
jerry,0,0,0,0,0,0,0,0,0,1,35,8,3.5,yeah but how could you sure
george,0,0,0,0,0,0,0,0,1,1,157,28,4.642857142857143,caus it signal jerri it signal snap hi finger dont you all right did she even ask you what you were doin tomorrow night you were busi
george,0,0,0,0,0,0,0,0,1,2,94,18,4.277777777777779,she call you today and she doesnt make plan for tomorrow what that it saturday night
george,0,0,0,0,0,0,0,0,3,1,162,29,4.620689655172415,what that it ridicul you dont even know what hotel she stay you cant call her that signal jerri that signal snap hi finger signal
george,0,0,0,0,0,0,0,0,0,1,35,7,4.142857142857143,mayb right cours right
jerry,0,0,0,0,0,0,0,0,1,0,113,21,4.428571428571429,thi insan you know dont even know where she stay she she not gon call thi unbeliev
george,0,0,0,0,0,0,0,0,0,1,91,21,3.3809523809523814,know know listen your stuff ha done now whi dont you just see it dri
jerry,0,0,0,0,0,0,0,0,0,0,108,21,4.190476190476192,dont interrupt the cycl the machin work know what it do just let finish
jerry,0,0,0,0,0,0,0,0,0,1,249,47,4.319148936170213,same you cant overwet you see onc someth wet it wet same thing with death like onc you die your dead right let say you drop dead and shoot you your not gon die again your alreadi dead you cant overdi you cant overdri
george,0,0,0,0,0,0,0,0,0,1,45,7,5.571428571428571,the other laundri patron ani question
jerry,0,0,0,0,0,0,0,0,0,1,48,10,3.9,how could she not tell where she wa stay
